CX3CL1
STARD3NL
MGST1
CD4
RALBP1
RANBP3
RIPOR1
SPATA7
KITLG
RCN1
EPN1
KLK14
ICAM3
SPP2
ST6GAL1
BPIFB2
NTN1
ALDH3A2
STK10
CPB2
TSPAN32
FAP
BLTP3A
PLOD1
SULT2B1
EPS8L1
GMIP
LAG3
GLG1
ADH1A
GSTA3
TGFBR3
TECR
MADCAM1
SERPIND1
MMP11
TCN2
PIK3IP1
PPP6R2
LMF2
NIPSNAP1
ACR
TAB1
SUPT16H
GSTZ1
SPTLC2
RIN3
CHGA
ZFYVE21
VRK1
NSFL1C
PYGB
EEF1A2
TM9SF4
PXMP4
ACOT8
APMAP
TXNL1
MXRA5
STS
GLA
CCL22
CCL17
WFDC1
DECR2
STUB1
CRYM
HMOX2
BCKDK
TGM5
AGO2
ZFAND1
RIPK2
CPQ
SFRP1
PLAT
PHF20L1
EMC2
PYCR3
DCTN6
GSR
PPP2CB
MAN2B1
SNRNP70
RNASEH2A
RETN
SGTA
EBI3
TGFB1
PLIN3
SULT2A1
PSENEN
PON1
-
HGF
LAMB1
BET1
NAMPT
ABHD11
CCL24
AIMP2
TFR2
SERPINE1
PLOD3
FIS1
MEST
AEBP1
YKT6
CHMP5
AK1
PLGRKT
EDF1
ATE1
CDH23
PITRM1
GIT1
RUNDC3A
SHPK
TAX1BP3
PFN1
CCDC47
AKAP10
SYNGR2
ABI3
DUSP3
VTN
RAB34
PF4V1
GAR1
CTSC
SF1
APOC3
SCGB2A2
YBX3
CD69
SELPLG
LTA4H
PRR4
ARPC3
OAS3
ART4
MGP
ARHGDIB
CNOT2
CMAS
HINT3
ACOT13
ADGRG6
DNPH1
LAMA4
CD74
DAP
GZMK
C1QTNF3
LNPEP
PCDH12
SKP1
BNIP1
EHHADH
CRBN
CYB561D2
GNB4
TNNC1
LDAF1
WDFY1
EIF2AK2
HEATR5B
MDH1
TFPI
FAHD2A
SF3B6
SNX17
GCA
IGFBP2
PPP1R7
COX7A2L
PRTN3
SPR
TMEM59
P3H1
MMP8
TNFAIP3
ABCG2
NDUFB3
GDA
HDHD3
IRF2BPL
UFM1
WASHC3
SLC35B1
PLBD1
CPXM2
GSTM2
SCRN1
DYNLL1
HVCN1
TRIR
ADGRE5
LRP1
NMI
C4BPB
SRSF6
NAGK
LIPE
CEACAM8
BTN3A3
SNRPC
LRRFIP1
SCGB1D2
SCGB2A1
GOT2
UPF3B
MYH2
MIF4GD
CLPP
CD93
TMX4
-
RRBP1
DSTN
SNRPB2
NCLN
PITHD1
RALY
UROD
ARL2
MLX
SDF2
L3HYPDH
HSPA2
VIL1
GNG11
FGL2
A4GALT
APOL2
PMPCB
ATP6V1F
LSM8
VGF
STRIP2
CALU
ARPP19
ISLR
CD68
TXNDC17
ILF3
CLEC11A
SIGLEC9
PIP4P1
ARHGEF6
SALL1
ZC3H14
VPS35L
MEGF8
TRNT1
KRT33B
TYMP
UBE4A
GAMT
APOE
AFDN
ACTN4
GDF15
TRPM4
ATXN10
TUBGCP2
ASS1
ANGPTL6
BPIFB1
NFATC1
PPFIA1
PRKAB2
ATF1
LGALS3
TRIM21
EFR3A
WBP2
CLEC10A
MATN2
CRP
ALDH3B2
SERINC3
PDE6A
HSPBP1
LGALS12
GIMAP4
ACTR3B
KRAS
FABP4
DGLUCY
EIF2S1
ARL8B
SORT1
SPX
ACP2
TCN1
RINT1
NT5E
TFCP2
REPS1
NPL
SERPINE2
COG3
CCM2
MYO1G
NDUFB5
RIPK1
SDCBP
THBS1
PREB
LRPPRC
IDH1
TRHDE
TMPO
IRAK3
LYZ
L2HGDH
BLMH
ALDH2
ANAPC5
CFAP20
SRCAP
SPTLC1
ANOS1
RRAGB
PRKCQ
ALG6
LCN1
CNRIP1
SRBD1
USE1
LNX1
AGPS
TOP2B
ATP6V0A1
KLKB1
POMC
MAEA
PDCD6
SSR3
PAPSS1
ADGRF5
CPSF6
ITGB7
COMMD4
MAN2C1
MFGE8
CEP131
ARMC6
SCYL1
AKT1
BCAM
EVI5L
WRAP73
TINAGL1
CELSR2
PIP5K1A
UBAP2L
ITPKB
EPHX1
UBXN4
SCRN3
DNPEP
LIMD1
ADAMTS16
MINDY3
ADRA2A
PRSS23
USP15
ANK3
NDUFC2
MGAT5
USP12
LPCAT1
GDPD1
SEMA3D
THY1
RABGEF1
AGPAT5
CXCL13
PCDH1
DPYSL5
PIK3CB
SLC12A6
GSTT2
CTBP1
CUX1
SCGB3A1
PSME3
LSM12
SDR9C7
KRT86
ALOX15
TNFSF12
TNFSF12-TNFSF13
EIF4A1
MAP4K2
STX5
RPL29
SYVN1
USP24
DNAJC11
VCAM1
NCSTN
CAPN2
INHBB
RNPEP
KRTCAP2
PCOLCE2
CXCL3
PPBP
CLEC3B
FYCO1
NMNAT3
MASP1
RFT1
CAMK2D
ANXA5
HHIP
PRRC1
MAP1B
PDP1
UBAP1
ALDH1A1
VEGFD
LIPC
BAG5
SERPINB2
HSP90B1
TAC3
GPD1
AXL
ATP2A3
ANGPTL4
NDUFA7
IGFBP6
GHDC
FAM234A
SOST
MGMT
CLEC12A
PA2G4
MAT2A
FNTA
USP19
GP2
PRPF8
OSCAR
ROBO4
GIMAP8
TRIM56
HS1BP3
CNNM3
SMAD1
SPRR1B
ADH1B
MGAT2
DRAP1
MXRA8
CHST2
HPSE
SNED1
MCTP1
UBE3C
LGALS8
NAV2
MLC1
CTSW
ATG4D
PAAF1
NIPAL4
OXSR1
DAG1
NFE2
RAB8B
DNAJC7
UBA6
KHDRBS1
BOK
CCZ1B
ARFGAP1
ALDH5A1
OSBPL3
CLEC4M
RANBP10
ATOX1
MARCHF8
PSAT1
CES2
EDEM3
NCL
FDCSP
ANAPC4
TMEM11
RAB23
MLXIPL
CNOT1
MROH1
RHOT2
PUF60
VNN2
HSPA5
TTC9C
CLVS1
TSTD1
FBN1
CNTN1
ELMOD2
PSEN1
TACC3
LSAMP
ATP6V0C
DEFA5
MCEMP1
PHKG2
CNOT10
ABHD17B
PTRHD1
AMY1A
CXorf38
EWSR1
STING1
PTP4A3
SELE
SERPINA5
SIGIRR
C1QTNF9
PTBP3
PDZD8
WASF3
FAM91A1
CCDC73
TTC7B
MASP1
HYAL3
TRAF6
NECAP2
ZC3H15
LRRC8D
EZR
TRIM16
FGFBP3
VIPAS39
CPM
AIDA
COLEC11
CAV1
BABAM2
NTN4
GTDC1
COL11A2
ERC1
LIMA1
CAPRIN1
ERMP1
TRIM3
SLC3A2
TRADD
ABHD12
SLPI
SP140
OAS2
TFPI
MPST
SRSF10
LAMTOR4
PPCDC
TMPPE
TOM1L1
PRELP
PPOX
C1orf162
MBTPS1
FOCAD
FIBP
SLC37A1
CDK5RAP3
APOD
MGAT3
PTGES2
SHBG
TOR1A
CDHR5
